Date,Method,Call,"Start Time","Stop Time","Execution Time",Result,Error,"Error Code"
"2013-08-08 11:02:46",DataService.getAppSetting,"a:2:{i:0;O:9:""xmlrpcval"":3:{s:2:""me"";a:1:{s:6:""string"";s:6:""APIKEY"";}s:6:""mytype"";i:1;s:10:""_php_class"";N;}i:1;O:9:""xmlrpcval"":3:{s:2:""me"";a:1:{s:6:""string"";s:7:""enabled"";}s:6:""mytype"";i:1;s:10:""_php_class"";N;}}","0.02722400 1375984966","0.08283500 1375984966",0.055611,"O:10:""xmlrpcresp"":9:{s:3:""val"";i:0;s:6:""valtyp"";N;s:5:""errno"";i:8;s:6:""errstr"";s:68:""CURL error: Could not resolve host: applicationName.infusionsoft.com"";s:7:""payload"";N;s:4:""hdrs"";a:0:{}s:8:""_cookies"";a:0:{}s:12:""content_type"";s:8:""text/xml"";s:8:""raw_data"";s:0:"""";}",Yes,"ERROR: 8 - CURL error: Could not resolve host: applicationName.infusionsoft.com"
"2013-08-08 11:02:46",DataService.query,"a:5:{i:0;O:9:""xmlrpcval"":3:{s:2:""me"";a:1:{s:6:""string"";s:6:""APIKEY"";}s:6:""mytype"";i:1;s:10:""_php_class"";N;}i:1;O:9:""xmlrpcval"":3:{s:2:""me"";a:1:{s:3:""int"";i:10;}s:6:""mytype"";i:1;s:10:""_php_class"";N;}i:2;O:9:""xmlrpcval"":3:{s:2:""me"";a:1:{s:3:""int"";i:0;}s:6:""mytype"";i:1;s:10:""_php_class"";N;}i:3;O:9:""xmlrpcval"":3:{s:2:""me"";a:1:{s:6:""struct"";a:1:{s:2:""Id"";O:9:""xmlrpcval"":3:{s:2:""me"";a:1:{s:6:""string"";s:1:""%"";}s:6:""mytype"";i:1;s:10:""_php_class"";N;}}}s:6:""mytype"";i:3;s:10:""_php_class"";N;}i:4;O:9:""xmlrpcval"":3:{s:2:""me"";a:1:{s:5:""array"";a:3:{i:0;O:9:""xmlrpcval"":3:{s:2:""me"";a:1:{s:6:""string"";s:2:""Id"";}s:6:""mytype"";i:1;s:10:""_php_class"";N;}i:1;O:9:""xmlrpcval"":3:{s:2:""me"";a:1:{s:6:""string"";s:9:""FirstName"";}s:6:""mytype"";i:1;s:10:""_php_class"";N;}i:2;O:9:""xmlrpcval"":3:{s:2:""me"";a:1:{s:6:""string"";s:8:""LastName"";}s:6:""mytype"";i:1;s:10:""_php_class"";N;}}}s:6:""mytype"";i:2;s:10:""_php_class"";N;}}","0.08620700 1375984966","0.08696300 1375984966",0.00075599999999999,"O:10:""xmlrpcresp"":9:{s:3:""val"";i:0;s:6:""valtyp"";N;s:5:""errno"";i:8;s:6:""errstr"";s:68:""CURL error: Could not resolve host: applicationName.infusionsoft.com"";s:7:""payload"";N;s:4:""hdrs"";a:0:{}s:8:""_cookies"";a:0:{}s:12:""content_type"";s:8:""text/xml"";s:8:""raw_data"";s:0:"""";}",Yes,"ERROR: 8 - CURL error: Could not resolve host: applicationName.infusionsoft.com"
